2018-07-12T12:59:45.738,FE, 6, 0, 0, D,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,81,target_component,50,req_stream_id,2,start_stop,1,,sig ,Len,14
2018-07-12T12:59:45.738,FE, 6, 0, 0, E,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,81,target_component,50,req_stream_id,2,start_stop,1,,sig ,Len,14
2018-07-12T12:59:45.738,FE, 6, 0, 0, F,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,81,target_component,50,req_stream_id,6,start_stop,1,,sig ,Len,14
2018-07-12T12:59:45.738,FE, 6, 0, 0,10,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,81,target_component,50,req_stream_id,6,start_stop,1,,sig ,Len,14
2018-07-12T12:59:45.739,FE, 6, 0, 0,11,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,4,target_system,81,target_component,50,req_stream_id,10,start_stop,1,,sig ,Len,14
2018-07-12T12:59:45.739,FE, 6, 0, 0,12,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,4,target_system,81,target_component,50,req_stream_id,10,start_stop,1,,sig ,Len,14
2018-07-12T12:59:45.739,FE, 6, 0, 0,13,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,4,target_system,81,target_component,50,req_stream_id,11,start_stop,1,,sig ,Len,14
2018-07-12T12:59:45.739,FE, 6, 0, 0,14,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,4,target_system,81,target_component,50,req_stream_id,11,start_stop,1,,sig ,Len,14
2018-07-12T12:59:45.740,FE, 6, 0, 0,15,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,81,target_component,50,req_stream_id,12,start_stop,1,,sig ,Len,14
2018-07-12T12:59:45.740,FE, 6, 0, 0,16,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,81,target_component,50,req_stream_id,12,start_stop,1,,sig ,Len,14
2018-07-12T12:59:45.740,FE,1C, 0, 0,95, 1, 1,    A3,mavlink_ahrs_t,omegaIx,0.001115422,omegaIy,0.0005618504,omegaIz,-0.0009501535,accel_weight,0,renorm_val,0,error_rp,0.007785113,error_yaw,0.004565112,,sig ,Len,36
2018-07-12T12:59:45.741,FE, 3, 0, 0,96, 1, 1,    A5,mavlink_hwstatus_t,Vcc,5024,I2Cerr,0,,sig ,Len,11
2018-07-12T12:59:45.741,FE, C, 0, 0,97, 1, 1,     2,mavlink_system_time_t,time_unix_usec,315964815007000,time_boot_ms,33187,,sig ,Len,20
2018-07-12T12:59:45.741,FE,16, 0, 0,98, 1, 1,    C1,mavlink_ekf_status_report_t,velocity_variance,0,pos_horiz_variance,0.008898215,pos_vert_variance,0.01766718,compass_variance,0.003253361,terrain_alt_variance,0.04159451,flags,229,,sig ,Len,30
2018-07-12T12:59:45.741,FE,20, 0, 0,99, 1, 1,    F1,mavlink_vibration_t,time_usec,33188073,vibration_x,0.02909425,vibration_y,0.04883121,vibration_z,0.03686233,clipping_0,0,clipping_1,0,clipping_2,0,,sig ,Len,40
2018-07-12T12:59:45.741,FE,1C, 0, 0,9A, 1, 1,    21,mavlink_global_position_int_t,time_boot_ms,33487,lat,0,lon,0,alt,360,relative_alt,360,vx,4,vy,1,vz,20,hdg,8980,,sig ,Len,36
2018-07-12T12:59:45.741,FE, 6, 0, 0,17,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,81,target_component,50,req_stream_id,1,start_stop,1,,sig ,Len,14
2018-07-12T12:59:45.741,FE, 6, 0, 0,18,FF,BE,    42,mavlink_request_data_stream_t,req_message_rate,2,target_system,81,target_component,50,req_stream_id,1,start_stop,1,,sig ,Len,14
